Baudrate,9600
Anzahl_der_geraete,1
Anzahl_der_Boards,8
Widerstaende_pro_Board,2
Gefundene_Geraete
/dev/ttyUSB0,Keithley: MODEL 2700,7700,7700
Zeit,Board Nr,Widerstand Nr,Port,Kannal,Temperatur True/False,Sensor,Gemessener Widerstand,Temperaturwert
734.03,5,2,/dev/ttyUSB0,110,False,False,1.49,False
735.53,6,1,/dev/ttyUSB0,201,True,PT100,121.84,56.35
737.03,6,2,/dev/ttyUSB0,202,False,False,2.19,False
738.54,7,1,/dev/ttyUSB0,203,True,PT100,122.11,57.05
740.04,7,2,/dev/ttyUSB0,204,False,False,1.65,False
741.55,8,1,/dev/ttyUSB0,205,True,PT100,122.43,57.89
743.05,8,2,/dev/ttyUSB0,206,False,False,2.5,False
864.58,1,1,/dev/ttyUSB0,101,True,PT100,123.23,59.97
866.08,1,2,/dev/ttyUSB0,102,False,False,1.71,False
867.59,2,1,/dev/ttyUSB0,103,True,PT100,122.9,59.11
869.09,2,2,/dev/ttyUSB0,104,False,False,2.81,False
870.6,3,1,/dev/ttyUSB0,105,False,False,1.75,False
872.1,3,2,/dev/ttyUSB0,106,True,PT100,122.72,58.64
873.6,4,1,/dev/ttyUSB0,107,True,PT100,122.71,58.61
875.11,4,2,/dev/ttyUSB0,108,False,False,3.04,False
876.62,5,1,/dev/ttyUSB0,109,True,PT100,122.67,58.51
878.12,5,2,/dev/ttyUSB0,110,False,False,1.5,False
879.63,6,1,/dev/ttyUSB0,201,True,PT100,122.81,58.88
881.13,6,2,/dev/ttyUSB0,202,False,False,2.19,False
882.64,7,1,/dev/ttyUSB0,203,True,PT100,122.89,59.08
884.15,7,2,/dev/ttyUSB0,204,False,False,1.65,False
885.65,8,1,/dev/ttyUSB0,205,True,PT100,123.2,59.89
887.15,8,2,/dev/ttyUSB0,206,False,False,2.51,False
1008.68,1,1,/dev/ttyUSB0,101,True,PT100,123.21,59.92
1010.19,1,2,/dev/ttyUSB0,102,False,False,1.71,False
1011.69,2,1,/dev/ttyUSB0,103,True,PT100,123.09,59.6
1013.19,2,2,/dev/ttyUSB0,104,False,False,2.81,False
1014.7,3,1,/dev/ttyUSB0,105,False,False,1.75,False
1016.2,3,2,/dev/ttyUSB0,106,True,PT100,122.93,59.19
1017.71,4,1,/dev/ttyUSB0,107,True,PT100,123.09,59.6
1019.21,4,2,/dev/ttyUSB0,108,False,False,3.05,False
1020.71,5,1,/dev/ttyUSB0,109,True,PT100,122.97,59.29
1022.22,5,2,/dev/ttyUSB0,110,False,False,1.5,False
1023.72,6,1,/dev/ttyUSB0,201,True,PT100,123.08,59.58
1025.23,6,2,/dev/ttyUSB0,202,False,False,2.2,False
1026.73,7,1,/dev/ttyUSB0,203,True,PT100,123.07,59.55
1028.24,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1029.75,8,1,/dev/ttyUSB0,205,True,PT100,123.29,60.13
1031.25,8,2,/dev/ttyUSB0,206,False,False,2.51,False
1152.81,1,1,/dev/ttyUSB0,101,True,PT100,122.99,59.34
1154.39,1,2,/dev/ttyUSB0,102,False,False,1.7,False
1155.9,2,1,/dev/ttyUSB0,103,True,PT100,122.97,59.29
1157.4,2,2,/dev/ttyUSB0,104,False,False,2.81,False
1158.91,3,1,/dev/ttyUSB0,105,False,False,1.75,False
1160.41,3,2,/dev/ttyUSB0,106,True,PT100,122.83,58.93
1161.91,4,1,/dev/ttyUSB0,107,True,PT100,123.03,59.45
1163.42,4,2,/dev/ttyUSB0,108,False,False,3.05,False
1164.92,5,1,/dev/ttyUSB0,109,True,PT100,122.88,59.06
1166.43,5,2,/dev/ttyUSB0,110,False,False,1.5,False
1167.93,6,1,/dev/ttyUSB0,201,True,PT100,122.97,59.29
1169.43,6,2,/dev/ttyUSB0,202,False,False,2.2,False
1170.94,7,1,/dev/ttyUSB0,203,True,PT100,122.92,59.16
1172.44,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1173.95,8,1,/dev/ttyUSB0,205,True,PT100,123.06,59.53
1175.45,8,2,/dev/ttyUSB0,206,False,False,2.51,False
1296.98,1,1,/dev/ttyUSB0,101,True,PT100,122.66,58.48
1298.48,1,2,/dev/ttyUSB0,102,False,False,1.7,False
1299.99,2,1,/dev/ttyUSB0,103,True,PT100,122.67,58.51
1301.57,2,2,/dev/ttyUSB0,104,False,False,2.8,False
1303.08,3,1,/dev/ttyUSB0,105,False,False,1.75,False
1304.58,3,2,/dev/ttyUSB0,106,True,PT100,122.55,58.2
1306.08,4,1,/dev/ttyUSB0,107,True,PT100,122.76,58.74
1307.59,4,2,/dev/ttyUSB0,108,False,False,3.04,False
1309.09,5,1,/dev/ttyUSB0,109,True,PT100,122.61,58.35
1310.59,5,2,/dev/ttyUSB0,110,False,False,1.5,False
1312.1,6,1,/dev/ttyUSB0,201,True,PT100,122.67,58.51
1313.6,6,2,/dev/ttyUSB0,202,False,False,2.19,False
1315.11,7,1,/dev/ttyUSB0,203,True,PT100,122.62,58.38
1316.61,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1318.11,8,1,/dev/ttyUSB0,205,True,PT100,122.7,58.59
1319.62,8,2,/dev/ttyUSB0,206,False,False,2.5,False
1441.15,1,1,/dev/ttyUSB0,101,True,PT100,122.27,57.47
1442.65,1,2,/dev/ttyUSB0,102,False,False,1.7,False
1444.15,2,1,/dev/ttyUSB0,103,True,PT100,122.31,57.57
1445.66,2,2,/dev/ttyUSB0,104,False,False,2.8,False
1447.16,3,1,/dev/ttyUSB0,105,False,False,1.74,False
1448.67,3,2,/dev/ttyUSB0,106,True,PT100,122.22,57.34
1450.17,4,1,/dev/ttyUSB0,107,True,PT100,122.41,57.83
1451.67,4,2,/dev/ttyUSB0,108,False,False,3.04,False
1453.18,5,1,/dev/ttyUSB0,109,True,PT100,122.26,57.44
1454.68,5,2,/dev/ttyUSB0,110,False,False,1.49,False
1456.19,6,1,/dev/ttyUSB0,201,True,PT100,122.31,57.57
1457.69,6,2,/dev/ttyUSB0,202,False,False,2.19,False
1459.19,7,1,/dev/ttyUSB0,203,True,PT100,122.24,57.39
1460.7,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1462.2,8,1,/dev/ttyUSB0,205,True,PT100,122.29,57.52
1463.71,8,2,/dev/ttyUSB0,206,False,False,2.5,False
1585.24,1,1,/dev/ttyUSB0,101,True,PT100,121.9,56.51
1586.74,1,2,/dev/ttyUSB0,102,False,False,1.7,False
1588.24,2,1,/dev/ttyUSB0,103,True,PT100,121.94,56.61
1589.75,2,2,/dev/ttyUSB0,104,False,False,2.8,False
1591.25,3,1,/dev/ttyUSB0,105,False,False,1.74,False
1592.75,3,2,/dev/ttyUSB0,106,True,PT100,121.87,56.43
1594.26,4,1,/dev/ttyUSB0,107,True,PT100,122.06,56.92
1595.76,4,2,/dev/ttyUSB0,108,False,False,3.04,False
1597.27,5,1,/dev/ttyUSB0,109,True,PT100,121.93,56.58
1598.77,5,2,/dev/ttyUSB0,110,False,False,1.49,False
1600.28,6,1,/dev/ttyUSB0,201,True,PT100,121.97,56.69
1601.78,6,2,/dev/ttyUSB0,202,False,False,2.19,False
1603.28,7,1,/dev/ttyUSB0,203,True,PT100,121.92,56.56
1604.79,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1606.29,8,1,/dev/ttyUSB0,205,True,PT100,121.97,56.69
1607.79,8,2,/dev/ttyUSB0,206,False,False,2.5,False
1729.32,1,1,/dev/ttyUSB0,101,True,PT100,123.08,59.58
1730.83,1,2,/dev/ttyUSB0,102,False,False,1.71,False
1732.33,2,1,/dev/ttyUSB0,103,True,PT100,122.87,59.03
1733.83,2,2,/dev/ttyUSB0,104,False,False,2.81,False
1735.34,3,1,/dev/ttyUSB0,105,False,False,1.75,False
1736.84,3,2,/dev/ttyUSB0,106,True,PT100,122.99,59.34
1738.35,4,1,/dev/ttyUSB0,107,True,PT100,122.92,59.16
1739.85,4,2,/dev/ttyUSB0,108,False,False,3.04,False
1741.35,5,1,/dev/ttyUSB0,109,True,PT100,123.01,59.4
1742.86,5,2,/dev/ttyUSB0,110,False,False,1.5,False
1744.36,6,1,/dev/ttyUSB0,201,True,PT100,122.92,59.16
1745.87,6,2,/dev/ttyUSB0,202,False,False,2.19,False
1747.37,7,1,/dev/ttyUSB0,203,True,PT100,123.1,59.63
1748.87,7,2,/dev/ttyUSB0,204,False,False,1.65,False
1750.38,8,1,/dev/ttyUSB0,205,True,PT100,123.24,60.0
1751.88,8,2,/dev/ttyUSB0,206,False,False,2.51,False
1873.41,1,1,/dev/ttyUSB0,101,True,PT100,126.02,67.24
1874.91,1,2,/dev/ttyUSB0,102,False,False,1.73,False
1876.42,2,1,/dev/ttyUSB0,103,True,PT100,125.75,66.54
1877.92,2,2,/dev/ttyUSB0,104,False,False,2.83,False
1879.43,3,1,/dev/ttyUSB0,105,False,False,1.77,False
